1,https://www.bookdepository.com//Go-Set-Watchman-UK-Edition-Harper-Lee/9781785150289?ref=grid-view,Go Set A Watchman (UK Edition),21,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7851/9781785150289.jpg,14 Jul 2015,26,"
                            3.32","(235,065 ratings by Goodreads)"
1,https://www.bookdepository.com//Anna-Karenina-Leo-Tolstoy/9781853262715?ref=grid-view,Anna Karenina,22,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853262715.jpg,01 Aug 1997,27,"
                            4.06","(674,869 ratings by Goodreads)"
1,https://www.bookdepository.com//Animal-Farm-George-Orwell/9780141182704?ref=grid-view,Animal Farm,23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141182704.jpg,01 Sep 2007,28,"
                            3.95","(2,785,208 ratings by Goodreads)"
1,https://www.bookdepository.com//Little-Women-Louisa-May-Alcott/9780147514011?ref=grid-view,Little Women,24,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1475/9780147514011.jpg,04 Dec 2014,29,"
                            4.09","(1,703,816 ratings by Goodreads)"
1,https://www.bookdepository.com//Pride-Prejudice-Jane-Austen/9780141199078?ref=grid-view,Pride and Prejudice,25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141199078.jpg,06 Dec 2012,30,"
                            4.26","(3,045,754 ratings by Goodreads)"
1,https://www.bookdepository.com//Plague-Albert-Camus/9780141185132?ref=grid-view,The Plague,26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1411/9780141185132.jpg,04 Aug 2015,31,"
                            4.01","(176,145 ratings by Goodreads)"
1,https://www.bookdepository.com//Brave-New-World-Aldous-Huxley/9780099518471?ref=grid-view,Brave New World,27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099518471.jpg,07 Jun 2011,32,"
                            3.99","(1,460,597 ratings by Goodreads)"
1,https://www.bookdepository.com//Rebecca-Daphne-du-Maurier/9781844080380?ref=grid-view,Rebecca,28,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844080380.jpg,30 Jan 2003,33,"
                            4.23","(464,705 ratings by Goodreads)"
1,https://www.bookdepository.com//Kill-Mockingbird-Harper-Lee/9780099419785?ref=grid-view,To Kill A Mockingbird,29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099419785.jpg,27 Jun 2008,34,"
                            4.28","(4,567,211 ratings by Goodreads)"
1,https://www.bookdepository.com//Lolita-Vladimir-Nabokov/9780241951644?ref=grid-view,Lolita,30,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241951644.jpg,16 Jun 2011,35,"
                            3.89","(670,584 ratings by Goodreads)"
1,https://www.bookdepository.com//Slaughter-House-Five-Kurt-Vonnegut/9780440180296?ref=grid-view,Slaughter House Five,31,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4401/9780440180296.jpg,06 Oct 1998,36,"
                            4.08","(1,141,603 ratings by Goodreads)"
1,https://www.bookdepository.com//Little-Women-Louisa-May-Alcott/9780099572961?ref=grid-view,Little Women,32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099572961.jpg,03 Mar 2017,37,"
                            4.05","(10,713 ratings by Goodreads)"
